FIPS,State,County,County Population,BTM PV Res Cap,BTM PV Comm Cap,,,EIA 861M Small Scale PV Estimate,,,,Capacity MW,,,
48321,TX,Matagorda,9896,0.907367209,0.108117297,,,,,,,,,,
48323,TX,Maverick,5284,0.484491545,0.057729567,,,,,,,,,,
48307,TX,McCulloch,3990,0.365844297,0.04359216,,,,,,,,,,
48309,TX,McLennan,36463,3.343303408,0.39837116,,,,,,,,,,
48311,TX,McMullen,58823,5.393498516,0.642662062,,,,,,,,,,
48325,TX,Medina,56881,5.215435954,0.621445026,,,,,,,,,,
48327,TX,Menard,1956,0.179346227,0.021369991,,,,,,,,,,
48329,TX,Midland,187855,17.2244813,2.052382259,,,,,,,,,,
48331,TX,Milam,26258,2.407603897,0.286877929,,,,,,,,,,
48333,TX,Mills,4580,0.419941574,0.050038118,,,,,,,,,,
48335,TX,Mitchell,8947,0.820353114,0.097749137,,,,,,,,,,
48337,TX,Montague,21966,2.014069129,0.239986312,,,,,,,,,,
48339,TX,Montgomery,781194,71.62791221,8.534820507,,,,,,,,,,
48341,TX,Moore,21891,2.007192357,0.239166911,,,,,,,,,,
48343,TX,Morris,12133,1.11247841,0.132557313,,,,,,,,,,
48345,TX,Motley,1043,0.095632983,0.011395144,,,,,,,,,,
48347,TX,Nacogdoches,66035,6.05476896,0.72145571,,,,,,,,,,
48349,TX,Navarro,57181,5.242943044,0.624722632,,,,,,,,,,
48351,TX,Newton,11954,1.096065846,0.130601674,,,,,,,,,,
48353,TX,Nolan,14117,1.294391965,0.154233214,,,,,,,,,,
48355,TX,Nueces,352992,32.36594237,3.85656234,,,,,,,,,,
48357,TX,Ochiltree,9284,0.851252745,0.101430981,,,,,,,,,,
48359,TX,Oldham,1783,0.163483805,0.019479905,,,,,,,,,,
48361,TX,Orange,86266,7.909755419,0.942486535,,,,,,,,,,
48363,TX,Palo Pinto,30791,2.823236027,0.336402556,,,,,,,,,,
48365,TX,Panola,23018,2.110527325,0.251479784,,,,,,,,,,
48367,TX,Parker,184767,16.94134166,2.018644768,,,,,,,,,,
48369,TX,Parmer,9678,0.887378723,0.10573557,,,,,,,,,,
48371,TX,Pecos,14560,1.335010768,0.159073145,,,,,,,,,,
48373,TX,Polk,53434,4.899379489,0.583785332,,,,,,,,,,
48375,TX,Potter,114453,10.4942299,1.25043947,,,,,,,,,,
48377,TX,Presidio,5433,0.4981534,0.059357445,,,,,,,,,,
48379,TX,Rains,13542,1.241670042,0.147951135,,,,,,,,,,
48381,TX,Randall,152351,13.96910889,1.664488513,,,,,,,,,,
48383,TX,Reagan,3166,0.29029149,0.034589669,,,,,,,,,,
48385,TX,Real,2745,0.251689873,0.029990095,,,,,,,,,,
48387,TX,Red River,11816,1.083412585,0.129093976,,,,,,,,,,
48389,TX,Reeves,12138,1.112936861,0.132611939,,,,,,,,,,
48391,TX,Refugio,6657,0.610382327,0.072730077,,,,,,,,,,
48393,TX,Roberts,867,0.07949549,0.009472281,,,,,,,,,,
48395,TX,Robertson,17839,1.635663261,0.194897379,,,,,,,,,,
48397,TX,Rockwall,140738,12.90430944,1.537612384,,,,,,,,,,
48399,TX,Runnels,9693,0.888754078,0.10589945,,,,,,,,,,
48401,TX,Rusk,54854,5.029579715,0.599299334,,,,,,,,,,
48403,TX,Sabine,10012,0.918003283,0.109384638,,,,,,,,,,
48405,TX,San Augustine,7722,0.708032496,0.084365579,,,,,,,,,,
48407,TX,San Jacinto,29488,2.703763566,0.32216682,,,,,,,,,,
48409,TX,San Patricio,72053,6.606561185,0.787204487,,,,,,,,,,
48411,TX,San Saba,5787,0.530611766,0.06322502,,,,,,,,,,
48413,TX,Schleicher,2245,0.205844723,0.024527418,,,,,,,,,,
48415,TX,Scurry,16162,1.481898628,0.176575561,,,,,,,,,,
48417,TX,Shackelford,3197,0.293133889,0.034928355,,,,,,,,,,
48419,TX,Shelby,24286,2.226790625,0.265333132,,,,,,,,,,
48421,TX,Sherman,2781,0.254990724,0.030383408,,,,,,,,,,
48423,TX,Smith,252549,23.15629357,2.75918707,,,,,,,,,,
48425,TX,Somervell,10261,0.940834168,0.112105051,,,,,,,,,,
48427,TX,Starr,66319,6.080809005,0.724558511,,,,,,,,,,
