Timestamp (EST),Baseline Res Electricity,BaseLine Res NG,ASHP Res Electricity,ASHP Res NG,Baseline Comm Electricity,Baseline Comm NG,SPHP RTU Comm Electricity,SPHP RTU Comm NG,Baseline Ins Electricity,TX BTM DGPV NCF
Tue 07:00 AM,0.7849,0.9142,0.8757,0.9485,0.479169215,0.624038552,0.598526305,0.634535258,0.961103006,0.1
Tue 08:00 AM,0.8934,0.9347,0.9215,0.9844,0.564813383,0.801667713,0.73192609,0.816428642,0.975200954,0.2
Tue 09:00 AM,0.9417,0.8793,0.895,0.9204,0.692212194,0.939338382,0.80532648,0.951911778,0.98536235,0.35
Tue 10:00 AM,0.9208,0.7977,0.8327,0.8459,0.766184227,0.954910887,0.877708624,0.97307568,0.993382191,0.45
Tue 11:00 AM,0.8651,0.7184,0.7761,0.7793,0.844643647,0.90104472,0.934534742,0.932411118,0.99625867,0.5
Tue 12:00 PM,0.8139,0.6582,0.7388,0.7493,0.911510897,0.838011092,0.973547093,0.887474231,0.99773077,0.53
Tue 01:00 PM,0.7804,0.6119,0.7128,0.7302,0.957578674,0.787872179,0.999140013,0.854124865,0.999824274,0.5
Tue 02:00 PM,0.7568,0.549,0.6715,0.7061,0.992657123,0.74389806,1,0.824667281,0.999484858,0.45
Tue 03:00 PM,0.7195,0.518,0.6679,0.7107,1,0.705617202,0.984997247,0.797432575,0.994048887,0.35
Tue 04:00 PM,0.7198,0.5102,0.6953,0.7485,0.989588993,0.682235437,0.949614406,0.779172026,0.984663676,0.2
Tue 05:00 PM,0.7514,0.52,0.7472,0.8132,0.956762839,0.664017332,0.88760841,0.76223527,0.974290482,0.08
Tue 06:00 PM,0.8073,0.5251,0.807,0.8358,0.894295609,0.619420881,0.806828501,0.710253003,0.969223172,0.025
Tue 07:00 PM,0.8691,0.5232,0.861,0.7763,0.810844979,0.593774016,0.742532708,0.678140187,0.969223172,0
Tue 08:00 PM,0.9197,0.5145,0.8979,0.6878,0.741172147,0.571932538,0.719143544,0.646770419,0.961103006,0
Tue 09:00 PM,0.9527,0.5129,0.8994,0.6063,0.707303025,0.556382121,0.668766293,0.62212127,0.961103006,0
Tue 10:00 PM,0.9493,0.525,0.8207,0.5452,0.65007605,0.532331866,0.611341761,0.592778274,0.961103006,0
Tue 11:00 PM,0.8618,0.552,0.697,0.4824,0.589040973,0.514536147,0.571545617,0.570323689,0.961103006,0
Wed 12:00 AM,0.7273,0.5777,0.6157,0.4168,0.544533744,0.507156482,0.544769427,0.559620305,0.961103006,0
Wed 01:00 AM,0.6379,0.5996,0.5965,0.3721,0.514759611,0.505357914,0.517616148,0.553172015,0.961103006,0
Wed 02:00 AM,0.6132,0.6285,0.6052,0.3588,0.487172846,0.508030187,0.47794315,0.544785982,0.961103006,0
Wed 03:00 AM,0.6183,0.6859,0.6502,0.3757,0.448281119,0.514897411,0.469941156,0.542084728,0.961103006,0
Wed 04:00 AM,0.656,0.7371,0.6868,0.4248,0.439121818,0.526578738,0.473954043,0.544750072,0.961103006,0
Wed 05:00 AM,0.6896,0.8129,0.754,0.548,0.441490436,0.559615021,0.493252205,0.571774631,0.961103006,0
Wed 06:00 AM,0.7551,0.9078,0.8543,0.7617,0.458285157,0.611242586,0.538671105,0.618827477,0.961103006,0.01
Wed 07:00 AM,0.853,0.9907,0.9632,0.9681,0.500863714,0.694280988,0.628402861,0.695009272,0.961103006,0.1
Wed 08:00 AM,0.9617,1,1,1,0.586504173,0.871622099,0.761693245,0.873550264,0.975200954,0.2
Wed 09:00 AM,1,0.9128,0.9317,0.9282,0.713162674,1,0.833555223,1,0.98536235,0.35
